Step	E_el	E_frac	E_tot
0	0.000000e+00	0.000000e+00	0.000000e+00
1	5.000554e-08	0.000000e+00	5.000554e-08
2	2.000222e-07	0.000000e+00	2.000222e-07
3	4.500499e-07	0.000000e+00	4.500499e-07
4	8.000887e-07	0.000000e+00	8.000887e-07
5	1.250139e-06	0.000000e+00	1.250139e-06
6	1.800200e-06	0.000000e+00	1.800200e-06
7	2.450272e-06	0.000000e+00	2.450272e-06
8	3.200355e-06	0.000000e+00	3.200355e-06
9	4.050449e-06	0.000000e+00	4.050449e-06
10	5.000554e-06	0.000000e+00	5.000554e-06
11	6.050671e-06	0.000000e+00	6.050671e-06
12	7.200798e-06	0.000000e+00	7.200798e-06
13	8.444765e-06	1.857358e-09	8.446622e-06
14	9.570034e-06	9.753474e-08	9.667569e-06
15	1.053707e-05	5.237343e-07	1.106080e-05
16	1.150346e-05	1.702968e-06	1.320643e-05
17	1.298025e-05	4.077061e-06	1.705731e-05
18	1.554761e-01	7.598268e-06	1.554837e-01
19	1.412428e+00	1.227175e-05	1.412440e+00
20	4.623881e+00	1.810257e-05	4.623899e+00
