Step	E_el	E_frac	E_tot
0	0.000000e+00	0.000000e+00	0.000000e+00
1	1.023779e-08	0.000000e+00	1.023779e-08
2	4.095118e-08	0.000000e+00	4.095118e-08
3	9.214015e-08	0.000000e+00	9.214015e-08
4	1.638047e-07	0.000000e+00	1.638047e-07
5	2.559449e-07	0.000000e+00	2.559449e-07
6	3.685606e-07	0.000000e+00	3.685606e-07
7	5.016519e-07	0.000000e+00	5.016519e-07
8	6.552188e-07	0.000000e+00	6.552188e-07
9	8.292613e-07	0.000000e+00	8.292613e-07
10	1.023779e-06	0.000000e+00	1.023779e-06
11	1.238773e-06	0.000000e+00	1.238773e-06
12	1.474242e-06	0.000000e+00	1.474242e-06
13	1.730187e-06	0.000000e+00	1.730187e-06
14	2.006608e-06	0.000000e+00	2.006608e-06
15	2.303504e-06	0.000000e+00	2.303504e-06
16	2.620875e-06	0.000000e+00	2.620875e-06
17	2.958723e-06	0.000000e+00	2.958723e-06
18	3.317045e-06	0.000000e+00	3.317045e-06
19	3.695844e-06	0.000000e+00	3.695844e-06
20	4.095118e-06	0.000000e+00	4.095118e-06
21	4.514867e-06	0.000000e+00	4.514867e-06
22	4.955092e-06	0.000000e+00	4.955092e-06
23	5.415793e-06	0.000000e+00	5.415793e-06
24	5.896970e-06	0.000000e+00	5.896970e-06
25	6.398621e-06	0.000000e+00	6.398621e-06
26	6.920749e-06	0.000000e+00	6.920749e-06
27	7.463352e-06	0.000000e+00	7.463352e-06
28	8.026431e-06	0.000000e+00	8.026431e-06
29	8.609985e-06	0.000000e+00	8.609985e-06
30	9.214015e-06	0.000000e+00	9.214015e-06
31	9.838520e-06	0.000000e+00	9.838520e-06
32	1.048350e-05	0.000000e+00	1.048350e-05
33	1.114896e-05	0.000000e+00	1.114896e-05
34	1.183489e-05	0.000000e+00	1.183489e-05
35	1.254130e-05	0.000000e+00	1.254130e-05
36	1.326818e-05	0.000000e+00	1.326818e-05
37	1.401554e-05	0.000000e+00	1.401554e-05
38	1.478338e-05	0.000000e+00	1.478338e-05
39	1.557169e-05	0.000000e+00	1.557169e-05
40	1.638047e-05	0.000000e+00	1.638047e-05
41	1.720973e-05	0.000000e+00	1.720973e-05
42	1.805947e-05	0.000000e+00	1.805947e-05
43	1.892968e-05	0.000000e+00	1.892968e-05
44	1.982037e-05	0.000000e+00	1.982037e-05
45	2.073153e-05	0.000000e+00	2.073153e-05
46	2.166317e-05	0.000000e+00	2.166317e-05
47	2.261529e-05	0.000000e+00	2.261529e-05
48	2.358788e-05	0.000000e+00	2.358788e-05
49	2.458094e-05	0.000000e+00	2.458094e-05
50	2.559449e-05	0.000000e+00	2.559449e-05
51	2.662850e-05	0.000000e+00	2.662850e-05
52	2.768300e-05	0.000000e+00	2.768300e-05
53	2.875796e-05	0.000000e+00	2.875796e-05
54	2.985341e-05	0.000000e+00	2.985341e-05
55	3.096933e-05	0.000000e+00	3.096933e-05
56	3.210572e-05	0.000000e+00	3.210572e-05
57	3.326259e-05	0.000000e+00	3.326259e-05
58	3.443994e-05	0.000000e+00	3.443994e-05
59	3.563776e-05	0.000000e+00	3.563776e-05
60	3.685606e-05	0.000000e+00	3.685606e-05
61	3.809483e-05	0.000000e+00	3.809483e-05
62	3.935408e-05	0.000000e+00	3.935408e-05
63	4.063381e-05	0.000000e+00	4.063381e-05
64	4.193401e-05	0.000000e+00	4.193401e-05
65	4.325468e-05	0.000000e+00	4.325468e-05
66	4.459583e-05	0.000000e+00	4.459583e-05
67	4.595746e-05	0.000000e+00	4.595746e-05
68	4.733956e-05	0.000000e+00	4.733956e-05
69	4.874214e-05	0.000000e+00	4.874214e-05
70	5.016519e-05	0.000000e+00	5.016519e-05
71	5.160872e-05	0.000000e+00	5.160872e-05
72	5.307273e-05	0.000000e+00	5.307273e-05
73	5.455721e-05	0.000000e+00	5.455721e-05
74	5.606216e-05	0.000000e+00	5.606216e-05
75	5.758759e-05	0.000000e+00	5.758759e-05
76	5.913350e-05	0.000000e+00	5.913350e-05
77	6.069988e-05	0.000000e+00	6.069988e-05
78	6.227648e-05	2.224003e-09	6.227870e-05
79	6.377215e-05	4.916543e-08	6.382131e-05
80	6.531526e-05	1.917351e-07	6.550699e-05
81	6.692804e-05	5.182543e-07	6.744629e-05
82	6.861473e-05	1.248603e-06	6.986334e-05
83	7.033304e-05	2.866260e-06	7.319930e-05
84	7.109334e-05	6.681930e-06	7.777527e-05
85	6.940006e-05	1.481282e-05	8.421288e-05
86	7.185015e-05	2.300802e-05	9.485818e-05
87	5.571590e+00	2.902886e-05	5.571619e+00
88	1.407261e+01	3.480561e-05	1.407264e+01
89	1.879564e+01	3.761837e-05	1.879568e+01
90	2.156616e+01	3.680759e-05	2.156620e+01
91	2.415574e+01	4.184190e-05	2.415578e+01
92	2.551720e+01	4.695689e-05	2.551724e+01
93	2.856906e+01	4.654392e-05	2.856910e+01
94	3.280602e+01	4.981701e-05	3.280607e+01
95	3.399011e+01	5.198395e-05	3.399016e+01
96	3.654546e+01	5.399510e-05	3.654552e+01
97	3.856381e+01	5.604452e-05	3.856386e+01
98	4.133891e+01	5.721863e-05	4.133897e+01
99	4.337282e+01	5.864007e-05	4.337287e+01
100	4.512191e+01	6.102969e-05	4.512197e+01
101	4.652595e+01	6.272208e-05	4.652601e+01
102	4.803745e+01	6.730970e-05	4.803752e+01
103	4.933747e+01	6.980128e-05	4.933754e+01
104	5.379639e+01	7.193794e-05	5.379646e+01
105	5.760880e+01	7.298047e-05	5.760887e+01
106	6.026280e+01	7.309580e-05	6.026287e+01
107	6.302655e+01	7.671257e-05	6.302663e+01
108	6.474454e+01	7.777842e-05	6.474462e+01
109	6.752830e+01	7.835581e-05	6.752838e+01
110	6.932053e+01	8.024189e-05	6.932061e+01
111	7.089572e+01	8.236812e-05	7.089580e+01
112	7.259568e+01	8.440793e-05	7.259577e+01
113	7.433910e+01	8.534113e-05	7.433918e+01
114	7.616749e+01	8.805184e-05	7.616757e+01
115	7.779313e+01	9.063150e-05	7.779323e+01
116	7.984430e+01	9.165652e-05	7.984439e+01
117	8.277568e+01	9.586951e-05	8.277577e+01
118	8.460902e+01	9.862041e-05	8.460912e+01
119	8.843073e+01	9.809442e-05	8.843083e+01
120	9.281043e+01	1.035048e-04	9.281053e+01
121	9.561453e+01	1.064285e-04	9.561464e+01
122	1.022217e+02	1.083897e-04	1.022218e+02
123	1.046610e+02	1.093712e-04	1.046611e+02
124	1.070494e+02	1.107743e-04	1.070495e+02
125	1.093733e+02	1.127970e-04	1.093734e+02
126	1.116656e+02	1.148247e-04	1.116657e+02
127	1.149817e+02	1.186920e-04	1.149818e+02
128	1.172539e+02	1.212823e-04	1.172540e+02
129	1.199847e+02	1.240949e-04	1.199848e+02
130	1.227864e+02	1.261251e-04	1.227865e+02
131	1.261789e+02	1.271009e-04	1.261791e+02
132	1.288947e+02	1.302277e-04	1.288948e+02
133	1.321309e+02	1.329033e-04	1.321311e+02
134	1.350943e+02	1.335116e-04	1.350944e+02
135	1.384778e+02	1.340021e-04	1.384780e+02
136	1.424152e+02	1.330300e-04	1.424154e+02
137	1.451729e+02	1.334388e-04	1.451730e+02
138	1.477848e+02	1.360284e-04	1.477850e+02
139	1.500187e+02	1.359306e-04	1.500188e+02
140	1.527444e+02	1.366873e-04	1.527445e+02
141	1.553253e+02	1.401528e-04	1.553254e+02
142	1.593795e+02	1.412655e-04	1.593796e+02
143	1.644943e+02	1.469776e-04	1.644945e+02
144	1.670138e+02	1.498733e-04	1.670140e+02
145	1.727954e+02	1.555332e-04	1.727956e+02
146	1.753157e+02	1.552313e-04	1.753158e+02
147	1.818838e+02	1.571458e-04	1.818839e+02
148	1.843672e+02	1.570433e-04	1.843674e+02
149	1.897623e+02	1.554320e-04	1.897624e+02
150	1.926070e+02	1.602242e-04	1.926072e+02
151	1.952963e+02	1.647782e-04	1.952965e+02
152	2.003505e+02	1.663600e-04	2.003507e+02
153	2.046609e+02	1.681662e-04	2.046610e+02
154	2.086032e+02	1.705214e-04	2.086034e+02
155	2.126098e+02	1.732628e-04	2.126100e+02
156	2.160883e+02	1.754544e-04	2.160885e+02
157	2.208311e+02	1.796776e-04	2.208313e+02
158	2.252204e+02	1.815033e-04	2.252206e+02
159	2.319119e+02	1.805171e-04	2.319120e+02
160	2.351780e+02	1.796193e-04	2.351782e+02
161	2.381269e+02	1.810899e-04	2.381271e+02
162	2.410943e+02	1.813127e-04	2.410945e+02
163	2.452010e+02	1.813127e-04	2.452011e+02
164	2.482188e+02	1.813127e-04	2.482190e+02
165	2.512551e+02	1.813127e-04	2.512553e+02
166	2.543098e+02	1.813127e-04	2.543100e+02
167	2.573830e+02	1.813127e-04	2.573832e+02
168	2.604747e+02	1.813127e-04	2.604749e+02
169	2.635848e+02	1.813127e-04	2.635850e+02
170	2.667134e+02	1.813127e-04	2.667136e+02
171	2.698604e+02	1.813127e-04	2.698606e+02
172	2.730259e+02	1.813127e-04	2.730261e+02
173	2.762098e+02	1.813127e-04	2.762100e+02
174	2.794123e+02	1.813127e-04	2.794124e+02
175	2.826331e+02	1.813127e-04	2.826333e+02
176	2.858724e+02	1.813127e-04	2.858726e+02
177	2.891302e+02	1.813127e-04	2.891304e+02
178	2.924065e+02	1.813127e-04	2.924066e+02
179	2.957011e+02	1.813127e-04	2.957013e+02
180	2.990143e+02	1.813127e-04	2.990145e+02
181	3.023459e+02	1.812593e-04	3.023461e+02
182	3.056960e+02	1.810870e-04	3.056962e+02
183	3.090645e+02	1.808091e-04	3.090647e+02
184	3.124515e+02	1.811640e-04	3.124517e+02
185	3.158569e+02	1.821180e-04	3.158571e+02
186	3.193521e+02	1.821379e-04	3.193523e+02
187	3.233260e+02	1.821379e-04	3.233261e+02
188	3.267932e+02	1.821379e-04	3.267934e+02
189	3.302790e+02	1.821379e-04	3.302792e+02
190	3.337833e+02	1.821170e-04	3.337834e+02
191	3.373060e+02	1.820164e-04	3.373062e+02
192	3.408473e+02	1.817890e-04	3.408474e+02
193	3.444070e+02	1.816771e-04	3.444072e+02
194	3.479852e+02	1.826740e-04	3.479854e+02
195	3.515820e+02	1.830873e-04	3.515821e+02
196	3.557086e+02	1.830875e-04	3.557087e+02
197	3.593476e+02	1.830875e-04	3.593478e+02
198	3.630051e+02	1.830875e-04	3.630053e+02
199	3.666811e+02	1.830875e-04	3.666813e+02
200	3.703756e+02	1.830875e-04	3.703757e+02
