Step	E_el	E_frac	E_tot
0	0.000000e+00	0.000000e+00	0.000000e+00
1	7.906115e-09	0.000000e+00	7.906115e-09
2	3.162446e-08	0.000000e+00	3.162446e-08
3	7.115504e-08	0.000000e+00	7.115504e-08
4	1.264978e-07	0.000000e+00	1.264978e-07
5	1.976529e-07	0.000000e+00	1.976529e-07
6	2.846202e-07	0.000000e+00	2.846202e-07
7	3.873997e-07	0.000000e+00	3.873997e-07
8	5.059914e-07	0.000000e+00	5.059914e-07
9	6.403954e-07	0.000000e+00	6.403954e-07
10	7.906115e-07	0.000000e+00	7.906115e-07
11	9.566400e-07	0.000000e+00	9.566400e-07
12	1.138481e-06	0.000000e+00	1.138481e-06
13	1.336134e-06	0.000000e+00	1.336134e-06
14	1.549599e-06	0.000000e+00	1.549599e-06
15	1.778876e-06	0.000000e+00	1.778876e-06
16	2.023966e-06	0.000000e+00	2.023966e-06
17	2.284867e-06	0.000000e+00	2.284867e-06
18	2.561581e-06	0.000000e+00	2.561581e-06
19	2.854108e-06	0.000000e+00	2.854108e-06
20	3.162446e-06	0.000000e+00	3.162446e-06
21	3.486597e-06	0.000000e+00	3.486597e-06
22	3.826560e-06	0.000000e+00	3.826560e-06
23	4.182335e-06	0.000000e+00	4.182335e-06
24	4.553922e-06	0.000000e+00	4.553922e-06
25	4.941322e-06	0.000000e+00	4.941322e-06
26	5.344534e-06	0.000000e+00	5.344534e-06
27	5.763558e-06	0.000000e+00	5.763558e-06
28	6.198395e-06	0.000000e+00	6.198395e-06
29	6.649043e-06	0.000000e+00	6.649043e-06
30	7.115504e-06	0.000000e+00	7.115504e-06
31	7.597777e-06	0.000000e+00	7.597777e-06
32	8.095862e-06	0.000000e+00	8.095862e-06
33	8.609760e-06	0.000000e+00	8.609760e-06
34	9.139469e-06	0.000000e+00	9.139469e-06
35	9.684991e-06	0.000000e+00	9.684991e-06
36	1.024633e-05	0.000000e+00	1.024633e-05
37	1.082347e-05	0.000000e+00	1.082347e-05
38	1.141643e-05	0.000000e+00	1.141643e-05
39	1.202520e-05	0.000000e+00	1.202520e-05
40	1.264978e-05	0.000000e+00	1.264978e-05
41	1.329018e-05	0.000000e+00	1.329018e-05
42	1.394639e-05	0.000000e+00	1.394639e-05
43	1.461841e-05	0.000000e+00	1.461841e-05
44	1.530624e-05	0.000000e+00	1.530624e-05
45	1.600988e-05	0.000000e+00	1.600988e-05
46	1.672934e-05	0.000000e+00	1.672934e-05
47	1.746461e-05	0.000000e+00	1.746461e-05
48	1.821569e-05	0.000000e+00	1.821569e-05
49	1.898258e-05	0.000000e+00	1.898258e-05
50	1.976529e-05	0.000000e+00	1.976529e-05
51	2.056381e-05	0.000000e+00	2.056381e-05
52	2.137814e-05	0.000000e+00	2.137814e-05
53	2.220828e-05	0.000000e+00	2.220828e-05
54	2.305423e-05	0.000000e+00	2.305423e-05
55	2.391600e-05	0.000000e+00	2.391600e-05
56	2.479358e-05	0.000000e+00	2.479358e-05
57	2.568697e-05	0.000000e+00	2.568697e-05
58	2.659617e-05	0.000000e+00	2.659617e-05
59	2.752119e-05	0.000000e+00	2.752119e-05
60	2.846202e-05	0.000000e+00	2.846202e-05
61	2.941866e-05	0.000000e+00	2.941866e-05
62	3.039111e-05	0.000000e+00	3.039111e-05
63	3.137937e-05	0.000000e+00	3.137937e-05
64	3.238345e-05	0.000000e+00	3.238345e-05
