Step	E_el	E_frac	E_tot
0	0.000000e+00	0.000000e+00	0.000000e+00
1	7.350468e-09	0.000000e+00	7.350468e-09
2	2.940187e-08	0.000000e+00	2.940187e-08
3	6.615422e-08	0.000000e+00	6.615422e-08
4	1.176075e-07	0.000000e+00	1.176075e-07
5	1.837617e-07	0.000000e+00	1.837617e-07
6	2.646169e-07	0.000000e+00	2.646169e-07
7	3.601730e-07	0.000000e+00	3.601730e-07
8	4.704300e-07	0.000000e+00	4.704300e-07
9	5.953879e-07	0.000000e+00	5.953879e-07
10	7.350468e-07	0.000000e+00	7.350468e-07
11	8.894067e-07	0.000000e+00	8.894067e-07
12	1.058467e-06	0.000000e+00	1.058467e-06
13	1.242229e-06	0.000000e+00	1.242229e-06
14	1.440692e-06	0.000000e+00	1.440692e-06
15	1.653855e-06	0.000000e+00	1.653855e-06
16	1.881720e-06	0.000000e+00	1.881720e-06
17	2.124285e-06	0.000000e+00	2.124285e-06
18	2.381552e-06	0.000000e+00	2.381552e-06
19	2.653519e-06	0.000000e+00	2.653519e-06
20	2.940187e-06	0.000000e+00	2.940187e-06
21	3.241557e-06	0.000000e+00	3.241557e-06
22	3.557627e-06	0.000000e+00	3.557627e-06
23	3.888398e-06	0.000000e+00	3.888398e-06
24	4.233870e-06	0.000000e+00	4.233870e-06
25	4.594043e-06	0.000000e+00	4.594043e-06
26	4.968917e-06	0.000000e+00	4.968917e-06
27	5.358491e-06	0.000000e+00	5.358491e-06
28	5.762767e-06	0.000000e+00	5.762767e-06
29	6.181744e-06	0.000000e+00	6.181744e-06
30	6.615422e-06	0.000000e+00	6.615422e-06
31	7.063800e-06	0.000000e+00	7.063800e-06
32	7.526880e-06	0.000000e+00	7.526880e-06
33	8.004660e-06	0.000000e+00	8.004660e-06
34	8.497142e-06	0.000000e+00	8.497142e-06
35	9.004324e-06	0.000000e+00	9.004324e-06
36	9.526207e-06	0.000000e+00	9.526207e-06
37	1.006279e-05	0.000000e+00	1.006279e-05
38	1.061408e-05	0.000000e+00	1.061408e-05
39	1.118006e-05	0.000000e+00	1.118006e-05
40	1.176075e-05	0.000000e+00	1.176075e-05
41	1.235614e-05	0.000000e+00	1.235614e-05
42	1.296623e-05	0.000000e+00	1.296623e-05
43	1.359102e-05	0.000000e+00	1.359102e-05
44	1.423051e-05	0.000000e+00	1.423051e-05
45	1.488470e-05	0.000000e+00	1.488470e-05
46	1.555359e-05	0.000000e+00	1.555359e-05
47	1.623718e-05	0.000000e+00	1.623718e-05
48	1.693548e-05	0.000000e+00	1.693548e-05
49	1.764847e-05	0.000000e+00	1.764847e-05
50	1.837617e-05	0.000000e+00	1.837617e-05
51	1.911857e-05	0.000000e+00	1.911857e-05
52	1.987567e-05	0.000000e+00	1.987567e-05
53	2.064747e-05	0.000000e+00	2.064747e-05
54	2.143397e-05	0.000000e+00	2.143397e-05
55	2.223517e-05	0.000000e+00	2.223517e-05
56	2.305107e-05	0.000000e+00	2.305107e-05
57	2.388167e-05	0.000000e+00	2.388167e-05
58	2.472698e-05	0.000000e+00	2.472698e-05
59	2.558698e-05	0.000000e+00	2.558698e-05
60	2.646169e-05	0.000000e+00	2.646169e-05
61	2.735109e-05	0.000000e+00	2.735109e-05
62	2.825520e-05	0.000000e+00	2.825520e-05
63	2.917401e-05	0.000000e+00	2.917401e-05
64	3.010752e-05	0.000000e+00	3.010752e-05
65	3.105573e-05	0.000000e+00	3.105573e-05
66	3.201864e-05	0.000000e+00	3.201864e-05
67	3.299625e-05	0.000000e+00	3.299625e-05
68	3.398857e-05	0.000000e+00	3.398857e-05
69	3.499558e-05	0.000000e+00	3.499558e-05
70	3.601730e-05	0.000000e+00	3.601730e-05
71	3.705371e-05	0.000000e+00	3.705371e-05
72	3.810483e-05	0.000000e+00	3.810483e-05
73	3.917065e-05	0.000000e+00	3.917065e-05
74	4.025117e-05	0.000000e+00	4.025117e-05
75	4.134638e-05	0.000000e+00	4.134638e-05
76	4.245631e-05	0.000000e+00	4.245631e-05
77	4.358093e-05	0.000000e+00	4.358093e-05
78	4.472025e-05	0.000000e+00	4.472025e-05
