Step	E_el	E_frac	E_tot
0	0.000000e+00	0.000000e+00	0.000000e+00
1	3.530960e-09	0.000000e+00	3.530960e-09
2	1.412384e-08	0.000000e+00	1.412384e-08
3	3.177864e-08	0.000000e+00	3.177864e-08
4	5.649536e-08	0.000000e+00	5.649536e-08
5	8.827400e-08	0.000000e+00	8.827400e-08
6	1.271146e-07	0.000000e+00	1.271146e-07
7	1.730170e-07	0.000000e+00	1.730170e-07
8	2.259814e-07	0.000000e+00	2.259814e-07
9	2.860078e-07	0.000000e+00	2.860078e-07
10	3.530960e-07	0.000000e+00	3.530960e-07
11	4.272462e-07	0.000000e+00	4.272462e-07
12	5.084582e-07	0.000000e+00	5.084582e-07
13	5.967322e-07	0.000000e+00	5.967322e-07
14	6.920682e-07	0.000000e+00	6.920682e-07
15	7.944660e-07	0.000000e+00	7.944660e-07
16	9.039257e-07	0.000000e+00	9.039257e-07
17	1.020447e-06	0.000000e+00	1.020447e-06
18	1.144031e-06	0.000000e+00	1.144031e-06
19	1.274677e-06	0.000000e+00	1.274677e-06
20	1.412384e-06	0.000000e+00	1.412384e-06
21	1.557153e-06	0.000000e+00	1.557153e-06
22	1.708985e-06	0.000000e+00	1.708985e-06
23	1.867878e-06	0.000000e+00	1.867878e-06
24	2.033833e-06	0.000000e+00	2.033833e-06
25	2.206850e-06	0.000000e+00	2.206850e-06
26	2.386929e-06	0.000000e+00	2.386929e-06
27	2.574070e-06	0.000000e+00	2.574070e-06
28	2.768273e-06	0.000000e+00	2.768273e-06
29	2.969537e-06	0.000000e+00	2.969537e-06
30	3.177864e-06	0.000000e+00	3.177864e-06
31	3.393253e-06	0.000000e+00	3.393253e-06
32	3.615703e-06	0.000000e+00	3.615703e-06
33	3.845215e-06	0.000000e+00	3.845215e-06
34	4.081790e-06	0.000000e+00	4.081790e-06
35	4.325426e-06	0.000000e+00	4.325426e-06
36	4.576124e-06	0.000000e+00	4.576124e-06
37	4.833884e-06	0.000000e+00	4.833884e-06
38	5.098706e-06	0.000000e+00	5.098706e-06
39	5.370590e-06	0.000000e+00	5.370590e-06
40	5.649536e-06	0.000000e+00	5.649536e-06
41	5.935544e-06	0.000000e+00	5.935544e-06
42	6.228613e-06	0.000000e+00	6.228613e-06
43	6.528745e-06	0.000000e+00	6.528745e-06
44	6.835938e-06	0.000000e+00	6.835938e-06
45	7.150194e-06	0.000000e+00	7.150194e-06
46	7.471511e-06	0.000000e+00	7.471511e-06
47	7.799891e-06	0.000000e+00	7.799891e-06
48	8.135332e-06	0.000000e+00	8.135332e-06
49	8.477835e-06	0.000000e+00	8.477835e-06
50	8.827400e-06	0.000000e+00	8.827400e-06
51	9.184027e-06	0.000000e+00	9.184027e-06
52	9.547716e-06	0.000000e+00	9.547716e-06
53	9.918467e-06	0.000000e+00	9.918467e-06
54	1.029628e-05	0.000000e+00	1.029628e-05
55	1.068115e-05	0.000000e+00	1.068115e-05
56	1.107309e-05	0.000000e+00	1.107309e-05
57	1.147209e-05	0.000000e+00	1.147209e-05
58	1.187815e-05	0.000000e+00	1.187815e-05
59	1.229127e-05	0.000000e+00	1.229127e-05
60	1.271146e-05	0.000000e+00	1.271146e-05
61	1.313870e-05	0.000000e+00	1.313870e-05
62	1.357301e-05	0.000000e+00	1.357301e-05
63	1.401438e-05	0.000000e+00	1.401438e-05
64	1.446281e-05	0.000000e+00	1.446281e-05
65	1.491831e-05	0.000000e+00	1.491831e-05
66	1.538086e-05	0.000000e+00	1.538086e-05
67	1.585048e-05	0.000000e+00	1.585048e-05
68	1.632716e-05	0.000000e+00	1.632716e-05
69	1.681090e-05	0.000000e+00	1.681090e-05
70	1.730170e-05	0.000000e+00	1.730170e-05
71	1.779957e-05	0.000000e+00	1.779957e-05
72	1.830450e-05	0.000000e+00	1.830450e-05
73	1.881649e-05	0.000000e+00	1.881649e-05
74	1.933554e-05	0.000000e+00	1.933554e-05
75	1.986165e-05	0.000000e+00	1.986165e-05
76	2.039482e-05	0.000000e+00	2.039482e-05
77	2.093506e-05	0.000000e+00	2.093506e-05
78	2.148236e-05	0.000000e+00	2.148236e-05
79	2.203672e-05	0.000000e+00	2.203672e-05
80	2.259814e-05	0.000000e+00	2.259814e-05
81	2.316663e-05	0.000000e+00	2.316663e-05
82	2.374217e-05	0.000000e+00	2.374217e-05
83	2.432478e-05	0.000000e+00	2.432478e-05
84	2.491445e-05	0.000000e+00	2.491445e-05
85	2.551119e-05	0.000000e+00	2.551119e-05
86	2.611498e-05	0.000000e+00	2.611498e-05
87	2.672584e-05	0.000000e+00	2.672584e-05
88	2.734375e-05	0.000000e+00	2.734375e-05
89	2.796873e-05	0.000000e+00	2.796873e-05
90	2.860078e-05	0.000000e+00	2.860078e-05
91	2.923988e-05	0.000000e+00	2.923988e-05
92	2.988605e-05	0.000000e+00	2.988605e-05
93	3.053927e-05	0.000000e+00	3.053927e-05
