Step	E_el	E_frac	E_tot
0	0.000000e+00	0.000000e+00	0.000000e+00
1	6.006513e-09	0.000000e+00	6.006513e-09
2	2.402605e-08	0.000000e+00	2.402605e-08
3	5.405862e-08	0.000000e+00	5.405862e-08
4	9.610421e-08	0.000000e+00	9.610421e-08
5	1.501628e-07	0.000000e+00	1.501628e-07
6	2.162345e-07	0.000000e+00	2.162345e-07
7	2.943191e-07	0.000000e+00	2.943191e-07
8	3.844168e-07	0.000000e+00	3.844168e-07
9	4.865275e-07	0.000000e+00	4.865275e-07
10	6.006513e-07	0.000000e+00	6.006513e-07
11	7.267881e-07	0.000000e+00	7.267881e-07
12	8.649379e-07	0.000000e+00	8.649379e-07
13	1.015101e-06	0.000000e+00	1.015101e-06
14	1.177277e-06	0.000000e+00	1.177277e-06
15	1.351465e-06	0.000000e+00	1.351465e-06
16	1.537667e-06	0.000000e+00	1.537667e-06
17	1.735882e-06	0.000000e+00	1.735882e-06
18	1.946110e-06	0.000000e+00	1.946110e-06
19	2.168351e-06	0.000000e+00	2.168351e-06
20	2.402605e-06	0.000000e+00	2.402605e-06
21	2.648872e-06	0.000000e+00	2.648872e-06
22	2.907152e-06	0.000000e+00	2.907152e-06
23	3.177445e-06	0.000000e+00	3.177445e-06
24	3.459751e-06	0.000000e+00	3.459751e-06
25	3.754071e-06	0.000000e+00	3.754071e-06
26	4.060403e-06	0.000000e+00	4.060403e-06
27	4.378748e-06	0.000000e+00	4.378748e-06
28	4.709106e-06	0.000000e+00	4.709106e-06
29	5.051477e-06	0.000000e+00	5.051477e-06
30	5.405862e-06	0.000000e+00	5.405862e-06
31	5.772259e-06	0.000000e+00	5.772259e-06
32	6.150669e-06	0.000000e+00	6.150669e-06
33	6.541093e-06	0.000000e+00	6.541093e-06
34	6.943529e-06	0.000000e+00	6.943529e-06
35	7.357978e-06	0.000000e+00	7.357978e-06
36	7.784441e-06	0.000000e+00	7.784441e-06
37	8.222916e-06	0.000000e+00	8.222916e-06
38	8.673405e-06	0.000000e+00	8.673405e-06
39	9.135906e-06	0.000000e+00	9.135906e-06
40	9.610421e-06	0.000000e+00	9.610421e-06
41	1.009695e-05	0.000000e+00	1.009695e-05
42	1.059549e-05	0.000000e+00	1.059549e-05
43	1.110604e-05	0.000000e+00	1.110604e-05
44	1.162861e-05	0.000000e+00	1.162861e-05
45	1.216319e-05	0.000000e+00	1.216319e-05
46	1.270978e-05	0.000000e+00	1.270978e-05
47	1.326839e-05	0.000000e+00	1.326839e-05
48	1.383901e-05	0.000000e+00	1.383901e-05
49	1.442164e-05	0.000000e+00	1.442164e-05
50	1.501628e-05	0.000000e+00	1.501628e-05
51	1.562294e-05	0.000000e+00	1.562294e-05
52	1.624161e-05	0.000000e+00	1.624161e-05
53	1.687229e-05	0.000000e+00	1.687229e-05
54	1.751499e-05	0.000000e+00	1.751499e-05
55	1.816970e-05	0.000000e+00	1.816970e-05
56	1.883642e-05	0.000000e+00	1.883642e-05
57	1.951516e-05	0.000000e+00	1.951516e-05
58	2.020591e-05	0.000000e+00	2.020591e-05
59	2.090867e-05	0.000000e+00	2.090867e-05
60	2.162345e-05	0.000000e+00	2.162345e-05
61	2.235023e-05	0.000000e+00	2.235023e-05
62	2.308904e-05	0.000000e+00	2.308904e-05
63	2.383985e-05	0.000000e+00	2.383985e-05
64	2.460268e-05	0.000000e+00	2.460268e-05
65	2.537752e-05	0.000000e+00	2.537752e-05
66	2.616437e-05	0.000000e+00	2.616437e-05
67	2.696324e-05	0.000000e+00	2.696324e-05
68	2.777412e-05	0.000000e+00	2.777412e-05
69	2.859701e-05	0.000000e+00	2.859701e-05
70	2.943191e-05	0.000000e+00	2.943191e-05
71	3.027883e-05	0.000000e+00	3.027883e-05
72	3.113776e-05	0.000000e+00	3.113776e-05
73	3.200871e-05	0.000000e+00	3.200871e-05
74	3.289166e-05	0.000000e+00	3.289166e-05
75	3.378663e-05	0.000000e+00	3.378663e-05
76	3.469362e-05	0.000000e+00	3.469362e-05
77	3.561261e-05	0.000000e+00	3.561261e-05
78	3.654362e-05	0.000000e+00	3.654362e-05
79	3.748665e-05	0.000000e+00	3.748665e-05
80	3.844168e-05	0.000000e+00	3.844168e-05
81	3.940873e-05	0.000000e+00	3.940873e-05
82	4.038779e-05	0.000000e+00	4.038779e-05
83	4.137887e-05	0.000000e+00	4.137887e-05
84	4.238195e-05	0.000000e+00	4.238195e-05
85	4.339706e-05	0.000000e+00	4.339706e-05
86	4.442417e-05	0.000000e+00	4.442417e-05
87	4.546330e-05	0.000000e+00	4.546330e-05
88	4.651444e-05	0.000000e+00	4.651444e-05
89	4.757759e-05	0.000000e+00	4.757759e-05
90	4.865275e-05	0.000000e+00	4.865275e-05
91	4.973993e-05	0.000000e+00	4.973993e-05
92	5.083912e-05	0.000000e+00	5.083912e-05
93	5.195033e-05	0.000000e+00	5.195033e-05
94	5.307355e-05	0.000000e+00	5.307355e-05
95	5.420878e-05	0.000000e+00	5.420878e-05
96	5.535602e-05	0.000000e+00	5.535602e-05
97	5.651528e-05	0.000000e+00	5.651528e-05
98	5.768655e-05	0.000000e+00	5.768655e-05
