Step	E_el	E_frac	E_tot
0	0.000000e+00	0.000000e+00	0.000000e+00
1	4.667636e-09	0.000000e+00	4.667636e-09
2	1.867055e-08	0.000000e+00	1.867055e-08
3	4.200873e-08	0.000000e+00	4.200873e-08
4	7.468218e-08	0.000000e+00	7.468218e-08
5	1.166909e-07	0.000000e+00	1.166909e-07
6	1.680349e-07	0.000000e+00	1.680349e-07
7	2.287142e-07	0.000000e+00	2.287142e-07
8	2.987287e-07	0.000000e+00	2.987287e-07
9	3.780785e-07	0.000000e+00	3.780785e-07
10	4.667636e-07	0.000000e+00	4.667636e-07
11	5.647840e-07	0.000000e+00	5.647840e-07
12	6.721396e-07	0.000000e+00	6.721396e-07
13	7.888306e-07	0.000000e+00	7.888306e-07
14	9.148567e-07	0.000000e+00	9.148567e-07
15	1.050218e-06	0.000000e+00	1.050218e-06
16	1.194915e-06	0.000000e+00	1.194915e-06
17	1.348947e-06	0.000000e+00	1.348947e-06
18	1.512314e-06	0.000000e+00	1.512314e-06
19	1.685017e-06	0.000000e+00	1.685017e-06
20	1.867055e-06	0.000000e+00	1.867055e-06
21	2.058428e-06	0.000000e+00	2.058428e-06
22	2.259136e-06	0.000000e+00	2.259136e-06
23	2.469180e-06	0.000000e+00	2.469180e-06
24	2.688559e-06	0.000000e+00	2.688559e-06
25	2.917273e-06	0.000000e+00	2.917273e-06
26	3.155322e-06	0.000000e+00	3.155322e-06
27	3.402707e-06	0.000000e+00	3.402707e-06
28	3.659427e-06	0.000000e+00	3.659427e-06
29	3.925482e-06	0.000000e+00	3.925482e-06
30	4.200873e-06	0.000000e+00	4.200873e-06
31	4.485599e-06	0.000000e+00	4.485599e-06
32	4.779660e-06	0.000000e+00	4.779660e-06
33	5.083056e-06	0.000000e+00	5.083056e-06
34	5.395788e-06	0.000000e+00	5.395788e-06
35	5.717855e-06	0.000000e+00	5.717855e-06
36	6.049257e-06	0.000000e+00	6.049257e-06
37	6.389994e-06	0.000000e+00	6.389994e-06
38	6.740067e-06	0.000000e+00	6.740067e-06
39	7.099475e-06	0.000000e+00	7.099475e-06
40	7.468218e-06	0.000000e+00	7.468218e-06
41	7.846297e-06	0.000000e+00	7.846297e-06
42	8.233711e-06	0.000000e+00	8.233711e-06
43	8.630460e-06	0.000000e+00	8.630460e-06
44	9.036544e-06	0.000000e+00	9.036544e-06
45	9.451964e-06	0.000000e+00	9.451964e-06
46	9.876719e-06	0.000000e+00	9.876719e-06
47	1.031081e-05	0.000000e+00	1.031081e-05
48	1.075423e-05	0.000000e+00	1.075423e-05
49	1.120700e-05	0.000000e+00	1.120700e-05
50	1.166909e-05	0.000000e+00	1.166909e-05
51	1.214052e-05	0.000000e+00	1.214052e-05
52	1.262129e-05	0.000000e+00	1.262129e-05
53	1.311139e-05	0.000000e+00	1.311139e-05
54	1.361083e-05	0.000000e+00	1.361083e-05
55	1.411960e-05	0.000000e+00	1.411960e-05
56	1.463771e-05	0.000000e+00	1.463771e-05
