Step	E_el	E_frac	E_tot
0	0.000000e+00	0.000000e+00	0.000000e+00
1	8.069558e-09	0.000000e+00	8.069558e-09
2	3.227823e-08	0.000000e+00	3.227823e-08
3	7.262602e-08	0.000000e+00	7.262602e-08
4	1.291129e-07	0.000000e+00	1.291129e-07
5	2.017389e-07	0.000000e+00	2.017389e-07
6	2.905041e-07	0.000000e+00	2.905041e-07
7	3.954083e-07	0.000000e+00	3.954083e-07
8	5.164517e-07	0.000000e+00	5.164517e-07
9	6.536342e-07	0.000000e+00	6.536342e-07
10	8.069558e-07	0.000000e+00	8.069558e-07
11	9.764165e-07	0.000000e+00	9.764165e-07
12	1.162016e-06	0.000000e+00	1.162016e-06
13	1.363755e-06	0.000000e+00	1.363755e-06
14	1.581633e-06	0.000000e+00	1.581633e-06
15	1.815651e-06	0.000000e+00	1.815651e-06
16	2.065807e-06	0.000000e+00	2.065807e-06
17	2.332102e-06	0.000000e+00	2.332102e-06
18	2.614537e-06	0.000000e+00	2.614537e-06
19	2.913110e-06	0.000000e+00	2.913110e-06
20	3.227823e-06	0.000000e+00	3.227823e-06
21	3.558675e-06	0.000000e+00	3.558675e-06
22	3.905666e-06	0.000000e+00	3.905666e-06
23	4.268796e-06	0.000000e+00	4.268796e-06
24	4.648065e-06	0.000000e+00	4.648065e-06
25	5.043474e-06	0.000000e+00	5.043474e-06
26	5.455021e-06	0.000000e+00	5.455021e-06
27	5.882708e-06	0.000000e+00	5.882708e-06
28	6.326533e-06	0.000000e+00	6.326533e-06
29	6.786498e-06	0.000000e+00	6.786498e-06
30	7.262602e-06	0.000000e+00	7.262602e-06
31	7.754845e-06	0.000000e+00	7.754845e-06
32	8.263227e-06	0.000000e+00	8.263227e-06
33	8.787749e-06	0.000000e+00	8.787749e-06
34	9.328409e-06	0.000000e+00	9.328409e-06
35	9.885208e-06	0.000000e+00	9.885208e-06
36	1.045815e-05	0.000000e+00	1.045815e-05
37	1.104722e-05	0.000000e+00	1.104722e-05
38	1.165244e-05	0.000000e+00	1.165244e-05
39	1.227380e-05	0.000000e+00	1.227380e-05
40	1.291129e-05	0.000000e+00	1.291129e-05
41	1.356493e-05	0.000000e+00	1.356493e-05
42	1.423470e-05	0.000000e+00	1.423470e-05
43	1.492061e-05	0.000000e+00	1.492061e-05
44	1.562266e-05	0.000000e+00	1.562266e-05
45	1.634085e-05	0.000000e+00	1.634085e-05
46	1.707518e-05	0.000000e+00	1.707518e-05
47	1.782565e-05	0.000000e+00	1.782565e-05
48	1.859226e-05	0.000000e+00	1.859226e-05
49	1.937501e-05	0.000000e+00	1.937501e-05
50	2.017389e-05	0.000000e+00	2.017389e-05
51	2.098892e-05	0.000000e+00	2.098892e-05
52	2.182008e-05	0.000000e+00	2.182008e-05
53	2.266739e-05	0.000000e+00	2.266739e-05
54	2.353083e-05	0.000000e+00	2.353083e-05
55	2.441041e-05	0.000000e+00	2.441041e-05
56	2.530613e-05	0.000000e+00	2.530613e-05
57	2.621799e-05	0.000000e+00	2.621799e-05
58	2.714599e-05	0.000000e+00	2.714599e-05
59	2.809013e-05	0.000000e+00	2.809013e-05
60	2.905041e-05	0.000000e+00	2.905041e-05
61	3.002682e-05	0.000000e+00	3.002682e-05
62	3.101938e-05	0.000000e+00	3.101938e-05
63	3.202808e-05	0.000000e+00	3.202808e-05
64	3.305291e-05	0.000000e+00	3.305291e-05
65	3.409388e-05	0.000000e+00	3.409388e-05
66	3.515099e-05	0.000000e+00	3.515099e-05
67	3.622425e-05	0.000000e+00	3.622425e-05
68	3.731364e-05	0.000000e+00	3.731364e-05
69	3.841917e-05	0.000000e+00	3.841917e-05
70	3.954083e-05	0.000000e+00	3.954083e-05
71	4.067864e-05	0.000000e+00	4.067864e-05
72	4.183259e-05	0.000000e+00	4.183259e-05
73	4.300267e-05	0.000000e+00	4.300267e-05
74	4.418890e-05	0.000000e+00	4.418890e-05
75	4.539126e-05	0.000000e+00	4.539126e-05
76	4.660977e-05	0.000000e+00	4.660977e-05
77	4.784441e-05	0.000000e+00	4.784441e-05
78	4.909519e-05	0.000000e+00	4.909519e-05
79	5.036211e-05	0.000000e+00	5.036211e-05
80	5.164517e-05	0.000000e+00	5.164517e-05
81	5.294437e-05	0.000000e+00	5.294437e-05
82	5.425971e-05	0.000000e+00	5.425971e-05
83	5.559118e-05	0.000000e+00	5.559118e-05
84	5.693880e-05	0.000000e+00	5.693880e-05
85	5.830256e-05	0.000000e+00	5.830256e-05
86	5.968245e-05	0.000000e+00	5.968245e-05
87	6.107848e-05	0.000000e+00	6.107848e-05
88	6.249066e-05	0.000000e+00	6.249066e-05
89	6.391897e-05	0.000000e+00	6.391897e-05
90	6.533664e-05	6.817906e-09	6.534346e-05
