Step	E_el	E_frac	E_tot
0	0.000000e+00	0.000000e+00	0.000000e+00
1	8.000887e-09	0.000000e+00	8.000887e-09
2	3.200355e-08	0.000000e+00	3.200355e-08
3	7.200798e-08	0.000000e+00	7.200798e-08
4	1.280142e-07	0.000000e+00	1.280142e-07
5	2.000222e-07	0.000000e+00	2.000222e-07
6	2.880319e-07	0.000000e+00	2.880319e-07
7	3.920435e-07	0.000000e+00	3.920435e-07
8	5.120568e-07	0.000000e+00	5.120568e-07
9	6.480718e-07	0.000000e+00	6.480718e-07
10	8.000887e-07	0.000000e+00	8.000887e-07
11	9.681073e-07	0.000000e+00	9.681073e-07
12	1.152128e-06	0.000000e+00	1.152128e-06
13	1.352150e-06	0.000000e+00	1.352150e-06
14	1.568174e-06	0.000000e+00	1.568174e-06
15	1.800200e-06	0.000000e+00	1.800200e-06
16	2.048227e-06	0.000000e+00	2.048227e-06
17	2.312256e-06	0.000000e+00	2.312256e-06
18	2.592287e-06	0.000000e+00	2.592287e-06
19	2.888320e-06	0.000000e+00	2.888320e-06
20	3.200355e-06	0.000000e+00	3.200355e-06
21	3.528391e-06	0.000000e+00	3.528391e-06
22	3.872429e-06	0.000000e+00	3.872429e-06
23	4.232469e-06	0.000000e+00	4.232469e-06
24	4.608511e-06	0.000000e+00	4.608511e-06
25	5.000554e-06	0.000000e+00	5.000554e-06
26	5.408600e-06	0.000000e+00	5.408600e-06
27	5.832647e-06	0.000000e+00	5.832647e-06
28	6.272695e-06	0.000000e+00	6.272695e-06
29	6.728746e-06	0.000000e+00	6.728746e-06
30	7.200798e-06	0.000000e+00	7.200798e-06
31	7.688852e-06	0.000000e+00	7.688852e-06
32	8.192908e-06	0.000000e+00	8.192908e-06
33	8.712966e-06	0.000000e+00	8.712966e-06
34	9.249025e-06	0.000000e+00	9.249025e-06
35	9.801086e-06	0.000000e+00	9.801086e-06
36	1.036915e-05	0.000000e+00	1.036915e-05
37	1.095321e-05	0.000000e+00	1.095321e-05
38	1.155328e-05	0.000000e+00	1.155328e-05
39	1.216935e-05	0.000000e+00	1.216935e-05
40	1.280142e-05	0.000000e+00	1.280142e-05
41	1.344949e-05	0.000000e+00	1.344949e-05
42	1.411356e-05	0.000000e+00	1.411356e-05
43	1.479364e-05	0.000000e+00	1.479364e-05
44	1.548972e-05	0.000000e+00	1.548972e-05
45	1.620180e-05	0.000000e+00	1.620180e-05
46	1.692988e-05	0.000000e+00	1.692988e-05
47	1.767396e-05	0.000000e+00	1.767396e-05
48	1.843404e-05	0.000000e+00	1.843404e-05
49	1.921013e-05	0.000000e+00	1.921013e-05
50	2.000222e-05	0.000000e+00	2.000222e-05
51	2.081031e-05	0.000000e+00	2.081031e-05
52	2.163440e-05	0.000000e+00	2.163440e-05
53	2.247449e-05	0.000000e+00	2.247449e-05
54	2.333059e-05	0.000000e+00	2.333059e-05
55	2.420268e-05	0.000000e+00	2.420268e-05
56	2.509078e-05	0.000000e+00	2.509078e-05
57	2.599488e-05	0.000000e+00	2.599488e-05
58	2.691498e-05	0.000000e+00	2.691498e-05
59	2.785109e-05	0.000000e+00	2.785109e-05
60	2.880319e-05	0.000000e+00	2.880319e-05
61	2.977130e-05	0.000000e+00	2.977130e-05
62	3.075541e-05	0.000000e+00	3.075541e-05
