Step	E_el	E_frac	E_tot
0	0.000000e+00	0.000000e+00	0.000000e+00
1	8.004051e-09	0.000000e+00	8.004051e-09
2	3.201620e-08	0.000000e+00	3.201620e-08
3	7.203646e-08	0.000000e+00	7.203646e-08
4	1.280648e-07	0.000000e+00	1.280648e-07
5	2.001013e-07	0.000000e+00	2.001013e-07
6	2.881458e-07	0.000000e+00	2.881458e-07
7	3.921985e-07	0.000000e+00	3.921985e-07
8	5.122592e-07	0.000000e+00	5.122592e-07
9	6.483281e-07	0.000000e+00	6.483281e-07
10	8.004051e-07	0.000000e+00	8.004051e-07
11	9.684901e-07	0.000000e+00	9.684901e-07
12	1.152583e-06	0.000000e+00	1.152583e-06
13	1.352685e-06	0.000000e+00	1.352685e-06
14	1.568794e-06	0.000000e+00	1.568794e-06
15	1.800911e-06	0.000000e+00	1.800911e-06
16	2.049037e-06	0.000000e+00	2.049037e-06
17	2.313171e-06	0.000000e+00	2.313171e-06
18	2.593312e-06	0.000000e+00	2.593312e-06
19	2.889462e-06	0.000000e+00	2.889462e-06
20	3.201620e-06	0.000000e+00	3.201620e-06
21	3.529786e-06	0.000000e+00	3.529786e-06
22	3.873960e-06	0.000000e+00	3.873960e-06
23	4.234143e-06	0.000000e+00	4.234143e-06
24	4.610333e-06	0.000000e+00	4.610333e-06
25	5.002532e-06	0.000000e+00	5.002532e-06
26	5.410738e-06	0.000000e+00	5.410738e-06
27	5.834953e-06	0.000000e+00	5.834953e-06
28	6.275176e-06	0.000000e+00	6.275176e-06
29	6.731407e-06	0.000000e+00	6.731407e-06
30	7.203646e-06	0.000000e+00	7.203646e-06
31	7.691893e-06	0.000000e+00	7.691893e-06
32	8.196148e-06	0.000000e+00	8.196148e-06
33	8.716411e-06	0.000000e+00	8.716411e-06
34	9.252682e-06	0.000000e+00	9.252682e-06
35	9.804962e-06	0.000000e+00	9.804962e-06
36	1.037325e-05	0.000000e+00	1.037325e-05
37	1.095755e-05	0.000000e+00	1.095755e-05
38	1.155785e-05	0.000000e+00	1.155785e-05
39	1.217416e-05	0.000000e+00	1.217416e-05
40	1.280648e-05	0.000000e+00	1.280648e-05
41	1.345481e-05	0.000000e+00	1.345481e-05
42	1.411915e-05	0.000000e+00	1.411915e-05
43	1.479949e-05	0.000000e+00	1.479949e-05
44	1.549584e-05	0.000000e+00	1.549584e-05
45	1.620820e-05	0.000000e+00	1.620820e-05
46	1.693657e-05	0.000000e+00	1.693657e-05
47	1.768095e-05	0.000000e+00	1.768095e-05
48	1.844133e-05	0.000000e+00	1.844133e-05
49	1.921773e-05	0.000000e+00	1.921773e-05
50	2.001013e-05	0.000000e+00	2.001013e-05
51	2.081854e-05	0.000000e+00	2.081854e-05
52	2.164295e-05	0.000000e+00	2.164295e-05
53	2.248338e-05	0.000000e+00	2.248338e-05
54	2.333981e-05	0.000000e+00	2.333981e-05
55	2.421225e-05	0.000000e+00	2.421225e-05
56	2.510070e-05	0.000000e+00	2.510070e-05
57	2.600516e-05	0.000000e+00	2.600516e-05
58	2.692563e-05	0.000000e+00	2.692563e-05
59	2.786210e-05	0.000000e+00	2.786210e-05
60	2.881458e-05	0.000000e+00	2.881458e-05
61	2.978307e-05	0.000000e+00	2.978307e-05
62	3.076757e-05	0.000000e+00	3.076757e-05
63	3.176808e-05	0.000000e+00	3.176808e-05
64	3.278459e-05	0.000000e+00	3.278459e-05
65	3.381711e-05	0.000000e+00	3.381711e-05
66	3.486564e-05	0.000000e+00	3.486564e-05
67	3.593018e-05	0.000000e+00	3.593018e-05
68	3.701073e-05	0.000000e+00	3.701073e-05
69	3.810728e-05	0.000000e+00	3.810728e-05
70	3.921985e-05	0.000000e+00	3.921985e-05
71	4.034842e-05	0.000000e+00	4.034842e-05
72	4.149300e-05	0.000000e+00	4.149300e-05
73	4.265359e-05	0.000000e+00	4.265359e-05
74	4.383018e-05	0.000000e+00	4.383018e-05
75	4.502278e-05	0.000000e+00	4.502278e-05
76	4.623140e-05	0.000000e+00	4.623140e-05
77	4.745602e-05	0.000000e+00	4.745602e-05
78	4.869664e-05	0.000000e+00	4.869664e-05
79	4.995328e-05	0.000000e+00	4.995328e-05
80	5.122592e-05	0.000000e+00	5.122592e-05
81	5.251458e-05	0.000000e+00	5.251458e-05
82	5.381924e-05	0.000000e+00	5.381924e-05
83	5.513990e-05	0.000000e+00	5.513990e-05
84	5.647658e-05	0.000000e+00	5.647658e-05
85	5.782927e-05	0.000000e+00	5.782927e-05
86	5.919796e-05	0.000000e+00	5.919796e-05
87	6.058266e-05	0.000000e+00	6.058266e-05
88	6.198337e-05	0.000000e+00	6.198337e-05
89	6.340008e-05	0.000000e+00	6.340008e-05
90	6.483278e-05	3.016426e-13	6.483278e-05
91	6.624570e-05	1.109897e-08	6.625679e-05
92	6.767145e-05	5.505229e-08	6.772650e-05
93	6.913364e-05	1.629429e-07	6.929658e-05
94	7.065054e-05	3.805830e-07	7.103112e-05
95	7.226009e-05	8.054626e-07	7.306555e-05
96	7.405877e-05	1.572454e-06	7.563123e-05
97	7.636888e-05	2.920413e-06	7.928930e-05
98	7.978023e-05	4.889730e-06	8.466997e-05
99	1.036727e-04	7.964162e-06	1.116369e-04
100	8.986877e-02	1.254501e-05	8.988132e-02
101	5.291454e-01	1.921619e-05	5.291646e-01
102	1.605651e+00	2.859845e-05	1.605680e+00
103	3.689149e+00	4.043772e-05	3.689190e+00
104	6.693178e+00	5.447191e-05	6.693232e+00
105	1.096573e+01	6.920759e-05	1.096580e+01
106	1.657371e+01	8.519611e-05	1.657380e+01
107	2.378112e+01	1.014945e-04	2.378122e+01
108	2.859077e+01	1.183206e-04	2.859089e+01
109	3.530399e+01	1.341034e-04	3.530413e+01
110	3.983695e+01	1.495152e-04	3.983710e+01
111	4.432349e+01	1.646369e-04	4.432365e+01
112	4.933228e+01	1.817986e-04	4.933246e+01
113	5.250185e+01	1.950016e-04	5.250205e+01
114	5.603675e+01	2.018476e-04	5.603695e+01
115	6.159210e+01	2.069599e-04	6.159230e+01
116	6.415330e+01	2.099800e-04	6.415351e+01
117	6.614151e+01	2.160216e-04	6.614173e+01
118	6.729364e+01	2.237410e-04	6.729386e+01
119	6.892059e+01	2.306579e-04	6.892082e+01
120	7.204983e+01	2.371714e-04	7.205006e+01
121	7.370561e+01	2.429415e-04	7.370585e+01
122	7.687777e+01	2.508210e-04	7.687802e+01
123	7.893410e+01	2.620744e-04	7.893436e+01
124	8.022527e+01	2.689551e-04	8.022554e+01
125	8.300070e+01	2.755183e-04	8.300098e+01
126	8.470507e+01	2.828437e-04	8.470536e+01
127	8.726092e+01	2.914888e-04	8.726121e+01
128	8.866295e+01	2.931370e-04	8.866324e+01
129	9.277686e+01	2.981957e-04	9.277716e+01
130	9.422206e+01	3.041390e-04	9.422236e+01
131	9.671405e+01	3.091528e-04	9.671436e+01
132	9.884528e+01	3.103053e-04	9.884559e+01
133	1.012254e+02	3.115860e-04	1.012257e+02
134	1.027608e+02	3.161650e-04	1.027611e+02
135	1.043004e+02	3.235373e-04	1.043007e+02
136	1.058619e+02	3.248850e-04	1.058622e+02
137	1.092791e+02	3.251448e-04	1.092794e+02
138	1.108807e+02	3.260528e-04	1.108810e+02
139	1.124941e+02	3.283989e-04	1.124944e+02
140	1.141185e+02	3.301758e-04	1.141189e+02
141	1.162324e+02	3.340849e-04	1.162328e+02
142	1.178871e+02	3.403196e-04	1.178875e+02
143	1.195535e+02	3.447580e-04	1.195539e+02
144	1.221640e+02	3.543614e-04	1.221644e+02
145	1.238666e+02	3.686907e-04	1.238670e+02
146	1.256028e+02	3.795245e-04	1.256031e+02
147	1.291799e+02	3.874287e-04	1.291803e+02
148	1.325442e+02	3.895147e-04	1.325446e+02
149	1.358744e+02	3.920670e-04	1.358748e+02
150	1.377071e+02	3.978063e-04	1.377075e+02
151	1.395494e+02	4.008043e-04	1.395498e+02
152	1.423386e+02	4.019876e-04	1.423390e+02
153	1.446326e+02	4.041569e-04	1.446330e+02
154	1.465294e+02	4.075564e-04	1.465298e+02
155	1.484386e+02	4.092516e-04	1.484390e+02
156	1.505127e+02	4.117277e-04	1.505131e+02
157	1.524486e+02	4.173738e-04	1.524491e+02
158	1.543969e+02	4.280850e-04	1.543973e+02
159	1.563773e+02	4.423198e-04	1.563777e+02
160	1.583561e+02	4.536503e-04	1.583565e+02
161	1.619839e+02	4.627665e-04	1.619843e+02
162	1.648536e+02	4.733053e-04	1.648541e+02
163	1.671668e+02	4.909604e-04	1.671673e+02
164	1.692243e+02	5.087055e-04	1.692248e+02
165	1.723060e+02	5.323532e-04	1.723065e+02
166	1.750655e+02	5.703286e-04	1.750660e+02
167	1.776785e+02	6.300413e-04	1.776792e+02
168	1.802140e+02	7.750308e-04	1.802148e+02
169	1.827224e+02	1.166888e-03	1.827235e+02
170	1.860652e+02	1.486548e-03	1.860667e+02
171	2.179198e+02	1.527876e-03	2.179213e+02
172	2.267231e+02	1.548431e-03	2.267247e+02
173	2.322496e+02	1.566254e-03	2.322512e+02
174	2.359206e+02	1.576759e-03	2.359222e+02
175	2.402672e+02	1.585117e-03	2.402688e+02
176	2.434971e+02	1.588375e-03	2.434987e+02
177	2.474071e+02	1.589930e-03	2.474087e+02
